date,home,away,match_type,generated_at,home_win_prob,exp_margin_home,home_pts,away_pts,actual_margin,pred_winner,actual_winner,winner_correct,is_draw,brier,abs_margin_error
2026-03-12,BRONCOS,EELS,exact,2026-03-11 20:57:00+00:00,0.874,14.5,32,40,-8,BRONCOS,EELS,0,0,0.763876,22.5
2026-03-13,ROOSTERS,RABBITOHS,exact,2026-03-11 20:57:00+00:00,0.631,5.1,26,18,8,ROOSTERS,ROOSTERS,1,0,0.136161,2.9000000000000004
2026-03-13,WARRIORS,RAIDERS,exact,2026-03-11 20:57:00+00:00,0.799,11.0,40,6,34,WARRIORS,WARRIORS,1,0,0.040400999999999986,23.0
2026-03-14,DRAGONS,STORM,exact,2026-03-11 20:57:00+00:00,0.31,-5.0,20,46,-26,STORM,STORM,1,0,0.0961,21.0
2026-03-14,PANTHERS,SHARKS,exact,2026-03-11 20:57:00+00:00,0.765,9.4,26,6,20,PANTHERS,PANTHERS,1,0,0.055224999999999996,10.6
2026-03-14,WESTS TIGERS,COWBOYS,exact,2026-03-11 20:57:00+00:00,0.727,8.2,44,16,28,WESTS TIGERS,WESTS TIGERS,1,0,0.07452900000000001,19.8
2026-03-15,DOLPHINS,TITANS,exact,2026-03-11 20:57:00+00:00,0.832,12.5,18,14,4,DOLPHINS,DOLPHINS,1,0,0.028224000000000013,8.5
2026-03-15,SEA EAGLES,KNIGHTS,exact,2026-03-11 20:57:00+00:00,0.836,12.6,16,36,-20,SEA EAGLES,KNIGHTS,0,0,0.698896,32.6
2026-03-19,RAIDERS,BULLDOGS,exact,2026-03-19 00:02:00+00:00,0.578,8.7,10,14,-4,RAIDERS,BULLDOGS,0,0,0.33408399999999994,12.7
2026-03-20,ROOSTERS,PANTHERS,exact,2026-03-19 19:58:00+00:00,0.359,-5.2,4,40,-36,PANTHERS,PANTHERS,1,0,0.128881,30.8
2026-03-20,STORM,BRONCOS,exact,2026-03-19 19:58:00+00:00,0.792,34.3,14,18,-4,STORM,BRONCOS,0,0,0.627264,38.3
2026-03-21,KNIGHTS,WARRIORS,exact,2026-03-20 19:53:00+00:00,0.437,3.0,12,38,-26,WARRIORS,WARRIORS,1,0,0.190969,29.0
2026-03-21,RABBITOHS,WESTS TIGERS,exact,2026-03-20 19:53:00+00:00,0.609,5.1,20,16,4,RABBITOHS,RABBITOHS,1,0,0.15288100000000002,1.0999999999999996
2026-03-21,SHARKS,DOLPHINS,exact,2026-03-20 19:53:00+00:00,0.759,28.2,10,38,-28,SHARKS,DOLPHINS,0,0,0.5760810000000001,56.2
2026-03-22,COWBOYS,TITANS,exact,2026-03-21 19:44:00+00:00,0.538,17.2,30,16,14,COWBOYS,COWBOYS,1,0,0.21344399999999997,3.1999999999999993
2026-03-22,EELS,DRAGONS,exact,2026-03-21 19:44:00+00:00,0.611,4.8,30,20,10,EELS,EELS,1,0,0.151321,5.2
2026-03-26,SEA EAGLES,ROOSTERS,exact,2026-03-25 19:59:00+00:00,0.323,-2.0,16,33,-17,ROOSTERS,ROOSTERS,1,0,0.104329,15.0
2026-03-27,BRONCOS,DOLPHINS,exact,2026-03-26 20:00:00+00:00,0.469,-17.5,26,12,14,DOLPHINS,BRONCOS,0,0,0.281961,31.5
2026-03-27,WARRIORS,WESTS TIGERS,exact,2026-03-26 20:00:00+00:00,0.905,25.6,14,32,-18,WARRIORS,WESTS TIGERS,0,0,0.819025,43.6
2026-03-28,BULLDOGS,KNIGHTS,exact,2026-03-27 19:56:00+00:00,0.757,-0.4,16,24,-8,BULLDOGS,KNIGHTS,0,0,0.573049,7.6
2026-03-28,COWBOYS,STORM,exact,2026-03-27 19:56:00+00:00,0.149,-29.0,28,24,4,STORM,COWBOYS,0,0,0.724201,33.0
2026-03-28,PANTHERS,EELS,exact,2026-03-27 19:56:00+00:00,0.858,34.3,48,20,28,PANTHERS,PANTHERS,1,0,0.020164000000000005,6.299999999999997
2026-03-29,RAIDERS,SHARKS,exact,2026-03-28 19:50:00+00:00,0.46,-4.8,22,34,-12,SHARKS,SHARKS,1,0,0.2116,7.2
2026-03-29,TITANS,DRAGONS,exact,2026-03-28 19:50:00+00:00,0.462,-5.7,22,14,8,DRAGONS,TITANS,0,0,0.28944400000000003,13.7
2026-04-02,DOLPHINS,SEA EAGLES,exact,2026-04-01 20:06:00+00:00,0.78,24.5,18,52,-34,DOLPHINS,SEA EAGLES,0,0,0.6084,58.5
2026-04-03,PANTHERS,STORM,exact,2026-04-02 21:47:00+00:00,0.767,27.3,50,10,40,PANTHERS,PANTHERS,1,0,0.05428899999999999,12.7
2026-04-03,RABBITOHS,BULLDOGS,exact,2026-04-02 21:47:00+00:00,0.581,7.0,32,24,8,RABBITOHS,RABBITOHS,1,0,0.17556100000000002,1.0
2026-04-04,DRAGONS,COWBOYS,exact,2026-04-04 01:43:00+00:00,0.353,-18.7,0,32,-32,COWBOYS,COWBOYS,1,0,0.12460899999999998,13.3
2026-04-04,TITANS,BRONCOS,exact,2026-04-04 01:43:00+00:00,0.167,-16.6,12,26,-14,BRONCOS,BRONCOS,1,0,0.027889000000000004,2.6000000000000014
