team,atk_delta_pts,def_delta_pts,spine_out_count,key_out_count,market_concern,notes
Storm,0.0,0.0,0,0,0.0,
Panthers,0.0,0.0,0,0,0.0,
Roosters,0.0,0.0,0,0,0.0,
Sharks,0.0,0.0,0,0,0.0,
Bulldogs,0.0,0.0,0,0,0.0,
Sea Eagles,0.0,0.0,0,0,0.0,
Raiders,0.0,0.0,0,0,0.0,
Cowboys,0.0,0.0,0,0,0.0,
Warriors,0.0,0.0,0,0,0.0,
Dolphins,0.0,0.0,0,0,0.0,
Rabbitohs,0.0,0.0,0,0,0.0,
Titans,0.0,0.0,0,0,0.0,
Eels,0.0,0.0,0,0,0.0,
Dragons,0.0,0.0,0,0,0.0,
Knights,-2.2,-0.8,2,2,1.5,"Ponga out, Dylan Brown out; major spine hit"
Wests Tigers,0.0,0.0,0,0,0.0,
