date,home,away,pick,selection,odds,stake,edge,confidence
2026-03-06,Broncos,Panthers,HOME,Broncos,1.7,2.0,0.129,0.7
2026-03-07,Sharks,Titans,HOME,Sharks,1.28,2.0,0.129,0.8
2026-03-07,Sea Eagles,Raiders,HOME,Sea Eagles,1.91,3.0,0.173,0.68
2026-03-08,Dolphins,Rabbitohs,HOME,Dolphins,1.85,3.0,0.283,0.79
2026-03-12,Broncos,Eels,HOME,Broncos,1.26,3.0,0.166,0.8
2026-03-13,Warriors,Raiders,HOME,Warriors,1.82,2.0,0.144,0.67
2026-03-13,Roosters,Rabbitohs,HOME,Roosters,1.63,3.0,0.284,0.8
2026-03-14,Wests Tigers,Cowboys,HOME,Wests Tigers,1.62,2.0,0.106,0.7
2026-03-15,Sea Eagles,Knights,HOME,Sea Eagles,1.5,3.0,0.219,0.8
2026-03-15,Dolphins,Titans,HOME,Dolphins,1.36,1.0,0.097,0.8
