team,jersey,player,position
Cowboys,1,Scott Drinkwater,fullback
Cowboys,2,Braidon Burns,winger
Cowboys,3,Jaxon Purdue,centre
Cowboys,4,Tom Chester,centre
Cowboys,5,Zac Laybutt,winger
Cowboys,6,Jake Clifford,five-eighth
Cowboys,7,Tom Dearden Forwards,halfback
Cowboys,8,Griffin Neame,prop
Cowboys,9,Reed Mahoney,hooker
Cowboys,10,Jason Taumalolo,prop
Cowboys,11,Heilum Luki,2nd row
Cowboys,12,Jeremiah Nanai,2nd row
Cowboys,13,Reuben Cotter Interchange,lock
Cowboys,14,Soni Luke,interchange
Cowboys,15,John Bateman,interchange
Cowboys,16,Thomas Mikaele,interchange
Cowboys,17,Coen Hess,interchange
Cowboys,18,Kaiden Lahrs,interchange
Cowboys,19,Ethan King Reserves,interchange
Cowboys,20,Kai O'Donnell,reserve
Cowboys,21,Sam McIntyre,reserve
Cowboys,22,Liam Sutton Sharks,reserve
Dolphins,1,Hamiso Tabuai-Fidow,fullback
Dolphins,2,Jamayne Isaako,winger
Dolphins,3,Jack Bostock,centre
Dolphins,4,Herbie Farnworth,centre
Dolphins,5,Selwyn Cobbo,winger
Dolphins,6,Kodi Nikorima,five-eighth
Dolphins,7,Isaiya Katoa Forwards,halfback
Dolphins,8,Thomas Flegler,prop
Dolphins,9,Jeremy Marshall-King,hooker
Dolphins,10,Tom Gilbert,prop
Dolphins,11,Max Plath,2nd row
Dolphins,12,Kulikefu Finefeuiaki,2nd row
Dolphins,13,Morgan Knowles Interchange,lock
Dolphins,14,Kurt Donoghoe,interchange
Dolphins,15,Ray Stone,interchange
Dolphins,16,Francis Molo,interchange
Dolphins,17,Connelly Lemuelu,interchange
Dolphins,18,Felise Kaufusi,interchange
Dolphins,19,Bradley Schneider Reserves,interchange
Dolphins,20,Jake Averillo,reserve
Dolphins,21,Brian Pouniu,reserve
Dolphins,22,Tevita Naufahu Warriors,reserve
Knights,1,Kalyn Ponga,fullback
Knights,2,Dominic Young,winger
Knights,3,Dane Gagai,centre
Knights,4,Bradman Best,centre
Knights,5,Greg Marzhew,winger
Knights,6,Fletcher Sharpe,five-eighth
Knights,7,Sandon Smith Forwards,halfback
Knights,8,Tyson Frizell,prop
Knights,9,Phoenix Crossland,hooker
Knights,10,Cody Hopwood,prop
Knights,11,Jermaine McEwen,2nd row
Knights,12,Francis Manuleleua,2nd row
Knights,13,Mat Croker Interchange,lock
Knights,14,Harrison Graham,interchange
Knights,15,Lachlan Crouch,interchange
Knights,16,Pasami Saulo,interchange
Knights,17,Thomas Cant,interchange
Knights,18,Fletcher Hunt,interchange
Knights,19,Toby Winter Reserves,interchange
Knights,20,Kyle McCarthy Rabbitohs,reserve
Roosters,1,James Tedesco,fullback
Roosters,2,Daniel Tupou,winger
Roosters,3,Billy Smith,centre
Roosters,4,Robert Toia,centre
Roosters,5,Mark Nawaqanitawase,winger
Roosters,6,Hugo Savala,five-eighth
Roosters,7,Daly Cherry-Evans Forwards,halfback
Roosters,8,Naufahu Whyte,prop
Roosters,9,Reece Robson,hooker
Roosters,10,Lindsay Collins,prop
Roosters,11,Salesi Foketi,2nd row
Roosters,12,Siua Wong,2nd row
Roosters,13,Victor Radley Interchange,lock
Roosters,14,Connor Watson,interchange
Roosters,15,Spencer Leniu,interchange
Roosters,16,Nat Butcher,interchange
Roosters,17,Angus Crichton,interchange
Roosters,18,Cody Ramsey,interchange
Roosters,19,Tommy Talau Reserves,interchange
Roosters,20,Egan Butcher,reserve
Roosters,21,Benaiah Ioelu,reserve
Roosters,22,Taylor Losalu Panthers,reserve
