fox_rank,fox_name,resolved_name,team_code,G,ST,MIN,T,TA,GLS,GK_pct,FG,PTS,R,RM,LB,TB,OFF,K,KM,TCK,MT,ERR,PEN,SB,SO
1,M. Croker,,NEW,24,24,1271,1,1,0,,0,4,216,1685,1,19,11,1,7,671,73,5,4,0,0
36,G. Marzhew,,NEW,23,23,1795,24,0,0,,0,96,413,3949,27,138,10,6,101,42,33,19,7,0,0
36,D. Young,,NEW,23,23,1831,20,6,0,,0,80,342,3409,37,122,15,6,108,46,23,32,6,1,0
68,P. Crossland,,NEW,22,22,1622,3,1,0,,0,12,24,194,1,3,1,18,866,886,79,6,8,0,0
68,D. Gagai,,NEW,22,22,1721,5,9,0,,0,20,295,2276,9,111,24,11,111,295,89,26,7,0,0
68,T. Mooney,,NEW,22,21,1097,5,1,0,,0,20,268,2088,4,44,25,1,9,656,52,10,13,1,0
68,F. Sharpe,,NEW,22,22,1707,12,11,0,,0,48,216,2090,11,86,15,29,709,346,48,20,3,0,0
91,T. Frizell,,NEW,21,2,832,2,0,0,,0,8,181,1651,1,21,16,1,11,449,20,4,6,0,0
91,S. Smith,,NEW,21,18,1536,1,18,51,72,0,106,102,772,2,23,10,169,4896,322,86,14,6,0,0
128,J. McEwen,,NEW,20,20,1547,2,1,0,,0,8,231,1764,4,38,5,2,65,645,71,15,15,1,0
182,F. Hunt,,NEW,18,13,1161,13,5,0,,0,52,189,1668,12,60,16,4,59,176,47,20,7,1,0
182,J. Saifiti,,NEW,18,17,895,1,1,0,,0,4,184,1624,0,15,5,0,0,419,47,1,2,0,1
224,T. Cant,,NEW,16,2,600,0,1,0,,0,0,82,640,0,17,2,0,0,335,29,0,1,0,0
224,H. Graham,,NEW,16,2,538,2,2,0,,0,8,43,537,3,17,7,5,110,392,37,2,6,0,0
224,D. Lucas,,NEW,16,16,1215,10,1,0,,0,40,190,1732,8,52,3,3,54,570,33,7,5,1,0
246,D. Brown,,NEW,15,15,1118,2,14,0,,1,9,126,1259,4,38,16,142,4553,310,30,14,2,0,0
246,K. Ponga,,NEW,15,15,1140,5,14,37,72,0,94,188,1918,10,72,22,60,1624,52,28,31,3,0,0
267,B. Best,,NEW,14,14,1080,4,12,0,,0,16,176,1759,5,36,12,6,72,172,38,11,0,0,0
267,C. Hopwood,,NEW,14,7,451,0,0,0,,0,0,116,811,1,11,4,0,0,256,16,0,3,0,0
267,P. Saulo,,NEW,14,2,370,0,0,0,,0,0,79,649,0,9,2,0,0,226,12,3,1,0,0
,F. Manuleleua,,NEW,11,9,661,2,5,0,,0,8,78,743,8,32,7,0,0,246,37,1,3,0,0
,L. Crouch,,NEW,8,0,244,0,0,0,,0,0,60,476,1,8,1,0,0,167,9,1,3,0,0
,B. Jones,,NEW,4,0,77,0,1,0,,0,0,19,148,0,1,2,0,0,38,1,0,1,0,0
,W. De Courcey,,NEW,2,1,80,0,0,0,,0,0,9,61,0,1,1,0,0,12,5,0,1,0,0
,E. Salesa-Leaumoana,,NEW,2,0,51,0,0,0,,0,0,9,50,0,0,1,0,0,21,2,1,0,0,0
,T. Gamble,,NEW,1,1,80,0,1,0,,0,0,4,31,0,0,1,10,247,28,6,1,2,0,0
,P. Hola,,NEW,1,0,12,0,0,0,,0,0,2,21,0,0,0,0,0,6,2,1,0,0,0
,J. Schiller,,NEW,1,1,80,0,0,0,,0,0,11,97,0,7,0,0,0,9,7,2,0,0,0
,T. Winter,,NEW,1,0,39,0,0,0,,0,0,8,65,0,1,1,0,0,11,1,0,0,0,0
,D. Hagan,,NEW,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A. Kepaoa,,NEW,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,K. McCarthy,,NEW,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,K. Koloamatangi,,SOU,24,22,1666,2,1,0,,0,8,406,3626,3,50,15,0,0,679,64,15,3,0,0
,T. Tatola,,SOU,24,22,1146,2,0,0,,0,8,310,2452,1,16,0,0,0,547,41,4,4,0,0
,L. Hubner,,SOU,23,3,817,1,2,0,,0,4,208,1479,2,30,8,2,22,476,72,7,3,1,0
,C. Walker,,SOU,23,22,1779,9,35,0,,0,36,117,920,14,53,14,140,3480,359,93,36,13,1,0
,T. Duncan,,SOU,21,19,1636,12,5,0,,0,48,297,2464,17,83,17,1,5,479,61,15,4,0,0
,A. Johnston,,SOU,21,21,1680,30,8,0,,0,120,257,2687,41,86,9,9,95,90,30,15,2,0,0
,C. Murray,,SOU,19,18,1301,5,6,0,,0,20,197,1676,7,42,11,2,32,679,38,7,5,0,0
,E. Aitken,,SOU,18,12,1093,6,0,0,,0,24,217,1635,5,39,8,1,32,520,26,3,3,0,0
