date,home,away,run_id,round_key,predicted_winner,actual_winner,correct,home_win_probability,winner_probability,exp_margin_home,actual_margin_home,margin_error,brier
2026-05-07,Dolphins,Bulldogs,20260506205139,nan,Dolphins,Dolphins,1,0.731,0.731,25.8,32.0,6.2,0.0724
2026-05-08,Cowboys,Eels,20260507205324,nan,Cowboys,Eels,0,0.784,0.784,26.5,-3.0,29.5,0.6147
2026-05-08,Roosters,Titans,20260507205324,nan,Roosters,Roosters,1,0.853,0.853,26.9,16.0,10.9,0.0216
2026-05-09,Dragons,Knights,20260508211123,nan,Knights,Knights,1,0.304,0.696,-29.1,-34.0,4.9,0.0924
2026-05-09,Rabbitohs,Sharks,20260509072840,nan,Sharks,Rabbitohs,0,0.383,0.617,-0.9,24.0,24.9,0.3807
2026-05-09,Sea Eagles,Broncos,20260509093754,nan,Sea Eagles,Sea Eagles,1,0.567,0.567,7.4,28.0,20.6,0.1875
2026-05-10,Raiders,Panthers,20260509114034,2026-05-10_to_2026-05-10,Panthers,Panthers,1,0.214,0.786,-29.5,-12.0,17.5,0.0458
2026-05-10,Storm,Wests Tigers,20260509114034,2026-05-10_to_2026-05-10,Wests Tigers,Storm,0,0.467,0.533,-17.7,28.0,45.7,0.2841
2026-05-15,Rabbitohs,Dolphins,20260510081036,2026-05-15_to_2026-05-17,Dolphins,Dolphins,1,0.447,0.553,-4.0,-22.0,18.0,0.1998
2026-05-15,Sharks,Bulldogs,20260510081036,2026-05-15_to_2026-05-17,Sharks,Sharks,1,0.725,0.725,26.5,22.0,4.5,0.0756
2026-05-16,Eels,Storm,20260515200125,2026-05-16_to_2026-05-17,Storm,Storm,1,0.356,0.644,0.0,-26.0,26.0,0.1267
2026-05-16,Roosters,Cowboys,20260515200125,2026-05-16_to_2026-05-17,Roosters,Cowboys,0,0.83,0.83,19.1,-6.0,25.1,0.6889
2026-05-16,Wests Tigers,Sea Eagles,20260515200125,2026-05-16_to_2026-05-17,Sea Eagles,Sea Eagles,1,0.305,0.695,-19.4,-28.0,8.6,0.093
2026-05-17,Panthers,Dragons,20260516194934,2026-05-17_to_2026-05-21,Panthers,Panthers,1,0.903,0.903,34.3,22.0,12.3,0.0094
2026-05-17,Titans,Knights,20260516194934,2026-05-17_to_2026-05-21,Knights,Knights,1,0.303,0.697,-18.9,-24.0,5.1,0.0918
2026-05-17,Warriors,Broncos,20260516194934,2026-05-17_to_2026-05-21,Warriors,Warriors,1,0.672,0.672,14.4,30.0,15.6,0.1076
2026-05-21,Raiders,Dolphins,20260517201155,2026-05-21_to_2026-05-24,Dolphins,Dolphins,1,0.408,0.592,-27.6,-8.0,19.6,0.1665
2026-05-22,Bulldogs,Storm,20260521210812,2026-05-22_to_2026-05-24,Storm,Bulldogs,0,0.393,0.607,-10.8,10.0,20.8,0.3684
2026-05-23,Dragons,Warriors,20260522205325,2026-05-23_to_2026-05-24,Warriors,Warriors,1,0.185,0.815,-32.0,-18.0,14.0,0.0342
2026-05-23,Sea Eagles,Titans,20260522205325,2026-05-23_to_2026-05-24,Sea Eagles,Sea Eagles,1,0.799,0.799,28.1,2.0,26.1,0.0404
2026-05-24,Cowboys,Rabbitohs,20260523201321,2026-05-24_to_2026-05-24,Rabbitohs,Cowboys,0,0.462,0.538,-9.0,12.0,21.0,0.2894
2026-05-29,Sharks,Sea Eagles,20260524114538,2026-05-29_to_2026-05-31,Sea Eagles,Sharks,0,0.386,0.614,-9.6,6.0,15.6,0.377
2026-05-30,Knights,Eels,20260529211952,2026-05-30_to_2026-05-31,Knights,Knights,1,0.76,0.76,29.0,6.0,23.0,0.0576
2026-05-30,Storm,Roosters,20260529211952,2026-05-30_to_2026-05-31,Roosters,Storm,0,0.322,0.678,-20.7,14.0,34.7,0.4597
2026-05-30,Wests Tigers,Bulldogs,20260529211952,2026-05-30_to_2026-05-31,Wests Tigers,Wests Tigers,1,0.568,0.568,8.1,6.0,2.1,0.1866
2026-06-04,Sea Eagles,Rabbitohs,20260531203542,2026-06-04_to_2026-06-08,Sea Eagles,Sea Eagles,1,0.696,0.696,15.3,14.0,1.3,0.0924
2026-06-05,Raiders,Roosters,20260604210833,2026-06-05_to_2026-06-08,Roosters,Roosters,1,0.316,0.684,-16.6,-26.0,9.4,0.0999
2026-06-05,Storm,Knights,20260604210833,2026-06-05_to_2026-06-08,Knights,Storm,0,0.388,0.612,-10.9,2.0,12.9,0.3745
2026-06-06,Broncos,Titans,20260605210459,2026-06-06_to_2026-06-08,Broncos,Titans,0,0.738,0.738,10.2,-5.0,15.2,0.5446
2026-06-06,Cowboys,Dolphins,20260605210459,2026-06-06_to_2026-06-08,Dolphins,Dolphins,1,0.339,0.661,-17.5,-26.0,8.5,0.1149
2026-06-07,Sharks,Dragons,20260606114447,2026-06-07_to_2026-06-11,Sharks,Sharks,1,0.787,0.787,32.6,22.0,10.6,0.0454
2026-06-08,Bulldogs,Eels,20260607103851,2026-06-08_to_2026-06-12,Bulldogs,Bulldogs,1,0.647,0.647,10.4,2.0,8.4,0.1246
