team,player,position,impact_points
Cowboys,Heilum Luki,2nd row,2.0
Cowboys,Jeremiah Nanai,2nd row,2.0
Cowboys,Jaxon Purdue,centre,1.6
Cowboys,Tom Chester,centre,1.6
Cowboys,Jake Clifford,five-eighth,4.2
Cowboys,Scott Drinkwater,fullback,4.0
Cowboys,Tom Dearden Forwards,halfback,5.0
Cowboys,Reed Mahoney,hooker,4.0
Cowboys,Coen Hess,interchange,1.0
Cowboys,Ethan King Reserves,interchange,1.0
Cowboys,John Bateman,interchange,1.0
Cowboys,Kaiden Lahrs,interchange,1.0
Cowboys,Soni Luke,interchange,1.0
Cowboys,Thomas Mikaele,interchange,1.0
Cowboys,Reuben Cotter Interchange,lock,2.5
Cowboys,Griffin Neame,prop,2.5
Cowboys,Jason Taumalolo,prop,2.5
Cowboys,Kai O'Donnell,reserve,0.7
Cowboys,Liam Sutton Sharks,reserve,0.7
Cowboys,Sam McIntyre,reserve,0.7
Cowboys,Braidon Burns,winger,1.2
Cowboys,Zac Laybutt,winger,1.2
Dolphins,Kulikefu Finefeuiaki,2nd row,2.0
Dolphins,Max Plath,2nd row,2.0
Dolphins,Herbie Farnworth,centre,1.6
Dolphins,Jack Bostock,centre,1.6
Dolphins,Kodi Nikorima,five-eighth,4.2
Dolphins,Hamiso Tabuai-Fidow,fullback,4.0
Dolphins,Isaiya Katoa Forwards,halfback,5.0
Dolphins,Jeremy Marshall-King,hooker,4.0
Dolphins,Bradley Schneider Reserves,interchange,1.0
Dolphins,Connelly Lemuelu,interchange,1.0
Dolphins,Felise Kaufusi,interchange,1.0
Dolphins,Francis Molo,interchange,1.0
Dolphins,Kurt Donoghoe,interchange,1.0
Dolphins,Ray Stone,interchange,1.0
Dolphins,Morgan Knowles Interchange,lock,2.5
Dolphins,Thomas Flegler,prop,2.5
Dolphins,Tom Gilbert,prop,2.5
Dolphins,Brian Pouniu,reserve,0.7
Dolphins,Jake Averillo,reserve,0.7
Dolphins,Tevita Naufahu Warriors,reserve,0.7
Dolphins,Jamayne Isaako,winger,1.2
Dolphins,Selwyn Cobbo,winger,1.2
Knights,Francis Manuleleua,2nd row,2.0
Knights,Jermaine McEwen,2nd row,2.0
Knights,Bradman Best,centre,1.6
Knights,Dane Gagai,centre,1.6
Knights,Fletcher Sharpe,five-eighth,4.2
Knights,Kalyn Ponga,fullback,4.0
Knights,Sandon Smith Forwards,halfback,5.0
Knights,Phoenix Crossland,hooker,4.0
Knights,Fletcher Hunt,interchange,1.0
Knights,Harrison Graham,interchange,1.0
Knights,Lachlan Crouch,interchange,1.0
Knights,Pasami Saulo,interchange,1.0
Knights,Thomas Cant,interchange,1.0
Knights,Toby Winter Reserves,interchange,1.0
Knights,Mat Croker Interchange,lock,2.5
Knights,Cody Hopwood,prop,2.5
Knights,Tyson Frizell,prop,2.5
Knights,Kyle McCarthy Rabbitohs,reserve,0.7
Knights,Dominic Young,winger,1.2
Knights,Greg Marzhew,winger,1.2
Panthers,Nathan Cleary,halfback,6.0
Roosters,Salesi Foketi,2nd row,2.0
Roosters,Siua Wong,2nd row,2.0
Roosters,Billy Smith,centre,1.6
Roosters,Robert Toia,centre,1.6
Roosters,Hugo Savala,five-eighth,4.2
Roosters,James Tedesco,fullback,4.0
Roosters,Daly Cherry-Evans Forwards,halfback,5.0
Roosters,Sam Walker,halfback,5.0
Roosters,Reece Robson,hooker,4.0
Roosters,Angus Crichton,interchange,1.0
Roosters,Cody Ramsey,interchange,1.0
Roosters,Connor Watson,interchange,1.0
Roosters,Nat Butcher,interchange,1.0
Roosters,Spencer Leniu,interchange,1.0
Roosters,Tommy Talau Reserves,interchange,1.0
Roosters,Victor Radley Interchange,lock,2.5
Roosters,Lindsay Collins,prop,2.5
Roosters,Naufahu Whyte,prop,2.5
Roosters,Benaiah Ioelu,reserve,0.7
Roosters,Egan Butcher,reserve,0.7
Roosters,Taylor Losalu Panthers,reserve,0.7
Roosters,Daniel Tupou,winger,1.2
Roosters,Mark Nawaqanitawase,winger,1.2
