date,home,away,home_pts,away_pts
2026-03-01,Bulldogs,Dragons,15,14
2026-03-01,Knights,Cowboys,28,18
2026-03-05,Storm,Eels,52,4
2026-03-06,Broncos,Panthers,0,26
2026-03-06,Warriors,Roosters,42,18
2026-03-07,Sea Eagles,Raiders,28,29
2026-03-07,Sharks,Titans,50,10
2026-03-08,Dolphins,Rabbitohs,30,40
2026-03-12,Broncos,Eels,32,40
2026-03-13,Roosters,Rabbitohs,26,18
2026-03-13,Warriors,Raiders,40,6
2026-03-14,Dragons,Storm,20,46
2026-03-14,Panthers,Sharks,26,6
2026-03-14,Wests Tigers,Cowboys,44,16
2026-03-15,Dolphins,Titans,18,14
2026-03-15,Sea Eagles,Knights,16,36
2026-03-19,Raiders,Bulldogs,10,14
2026-03-20,Roosters,Panthers,4,40
2026-03-20,Storm,Broncos,14,18
2026-03-21,Knights,Warriors,12,38
2026-03-21,Rabbitohs,Wests Tigers,20,16
2026-03-21,Sharks,Dolphins,10,38
2026-03-22,Cowboys,Titans,30,16
2026-03-22,Eels,Dragons,30,20
2026-03-26,Manly,Roosters,16,33
2026-03-26,Sea Eagles,Roosters,16,33
2026-03-27,Broncos,Dolphins,26,12
2026-03-27,Warriors,Wests Tigers,14,32
2026-03-28,Bulldogs,Knights,16,24
2026-03-28,Cowboys,Storm,28,24
2026-03-28,Panthers,Eels,48,20
2026-03-29,Raiders,Sharks,22,34
2026-03-29,Titans,Dragons,22,14
2026-04-02,Dolphins,Sea Eagles,18,52
2026-04-03,Panthers,Storm,50,10
2026-04-03,Rabbitohs,Bulldogs,32,24
