round_id,round_start,round_end,captured_at,team,jersey,player,position
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Cowboys,1,Scott Drinkwater,fullback
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Cowboys,2,Braidon Burns,wing
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Cowboys,3,Jaxon Purdue,centre
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Cowboys,4,Tom Chester,centre
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Cowboys,5,Zac Laybutt,wing
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Cowboys,6,Jake Clifford,five eighth
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Cowboys,7,Tom Dearden,halfback
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Cowboys,8,Griffin Neame,prop
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Cowboys,9,Reed Mahoney,hooker
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Cowboys,10,Jason Taumalolo,prop
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Cowboys,11,Heilum Luki,second row
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Cowboys,12,Jeremiah Nanai,second row
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Cowboys,13,Reuben Cotter,lock
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Cowboys,14,Soni Luke,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Cowboys,15,John Bateman,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Cowboys,16,Thomas Mikaele,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Cowboys,17,Coen Hess,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Dolphins,1,Hamiso Tabuai-Fidow,fullback
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Dolphins,2,Jamayne Isaako,wing
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Dolphins,3,Jack Bostock,centre
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Dolphins,4,Herbie Farnworth,centre
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Dolphins,5,Selwyn Cobbo,wing
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Dolphins,6,Kodi Nikorima,five eighth
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Dolphins,7,Isaiya Katoa,halfback
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Dolphins,8,Thomas Flegler,prop
